,File_Name,Label
0,008ba489-31ad-44d8-856b-fcf72369dc46_0,1.0
1,008ba489-31ad-44d8-856b-fcf72369dc46_1,1.0
2,008c1c9e-aeef-40c5-846c-24f1b964f884_0,1.0
3,008c1c9e-aeef-40c5-846c-24f1b964f884_1,1.0
4,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_0,1.0
5,018b40a1-c109-459a-9e31-86cbd2cb3918_0,1.0
6,018b40a1-c109-459a-9e31-86cbd2cb3918_1,1.0
7,018b40a1-c109-459a-9e31-86cbd2cb3918_2,1.0
8,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_0,1.0
9,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_1,1.0
10,01f97898-9ec4-480b-9fcc-a9daa737106d_0,1.0
11,01f97898-9ec4-480b-9fcc-a9daa737106d_1,1.0
12,01f97898-9ec4-480b-9fcc-a9daa737106d_2,1.0
13,01f97898-9ec4-480b-9fcc-a9daa737106d_3,1.0
14,02df470b-ddcf-403a-b726-76be6af905e1_0,1.0
15,031fd54a-87b5-4223-9af6-60985127fb7a_0,1.0
16,031fd54a-87b5-4223-9af6-60985127fb7a_1,1.0
17,0352b80b-3c92-44f2-abbf-d6c056e02ee9_0,1.0
18,03d30b8b-03f8-4089-bda8-0e14deec7d82_0,1.0
19,03d30b8b-03f8-4089-bda8-0e14deec7d82_1,1.0
20,0527be95-d7f1-4156-8e37-1587355661ca_0,1.0
21,0527be95-d7f1-4156-8e37-1587355661ca_1,1.0
22,0527be95-d7f1-4156-8e37-1587355661ca_2,1.0
23,0569d979-384b-4a30-b0ca-2b19e8c8650b_0,1.0
24,0569d979-384b-4a30-b0ca-2b19e8c8650b_1,1.0
25,0569d979-384b-4a30-b0ca-2b19e8c8650b_2,1.0
26,0640716b-e287-4181-a653-5b798e8308c8_0,1.0
27,0640716b-e287-4181-a653-5b798e8308c8_1,1.0
28,0640716b-e287-4181-a653-5b798e8308c8_2,1.0
29,06b568b5-b9f8-4334-816c-c16009bb5de7_0,1.0
30,06b568b5-b9f8-4334-816c-c16009bb5de7_1,1.0
31,0969d0c4-34ce-4e9a-8cf1-1b18403587e8_0,1.0
32,0969d0c4-34ce-4e9a-8cf1-1b18403587e8_1,1.0
33,09de6967-b295-4516-8a4d-4d95c9a7b02c_0,1.0
34,09de6967-b295-4516-8a4d-4d95c9a7b02c_1,1.0
35,09de6967-b295-4516-8a4d-4d95c9a7b02c_2,1.0
36,09e64861-61b1-4f66-a7c0-17ac1a0c60f0_0,1.0
37,09e64861-61b1-4f66-a7c0-17ac1a0c60f0_1,1.0
38,09e64861-61b1-4f66-a7c0-17ac1a0c60f0_2,1.0
39,0a03da19-eb19-4f51-9860-78ad95fa8cb5_0,1.0
40,0b467189-37bc-488a-bf88-43611762fea8_0,1.0
41,0b467189-37bc-488a-bf88-43611762fea8_1,1.0
42,0b6ea0b5-e036-43ca-8462-d128f6232bdf_0,1.0
43,0b6ea0b5-e036-43ca-8462-d128f6232bdf_1,1.0
44,0b6f8543-c5e3-414c-a4f3-020e56e8ec60_0,1.0
45,0b6f8543-c5e3-414c-a4f3-020e56e8ec60_1,1.0
