,File_Name,Label
0,008ba489-31ad-44d8-856b-fcf72369dc46_0,1.0
1,008ba489-31ad-44d8-856b-fcf72369dc46_1,1.0
2,008ba489-31ad-44d8-856b-fcf72369dc46_2,1.0
3,008ba489-31ad-44d8-856b-fcf72369dc46_3,1.0
4,008ba489-31ad-44d8-856b-fcf72369dc46_4,1.0
5,008c1c9e-aeef-40c5-846c-24f1b964f884_0,1.0
6,008c1c9e-aeef-40c5-846c-24f1b964f884_1,1.0
7,008c1c9e-aeef-40c5-846c-24f1b964f884_2,1.0
8,008c1c9e-aeef-40c5-846c-24f1b964f884_3,1.0
9,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_0,1.0
10,018b40a1-c109-459a-9e31-86cbd2cb3918_0,1.0
11,018b40a1-c109-459a-9e31-86cbd2cb3918_1,1.0
12,018b40a1-c109-459a-9e31-86cbd2cb3918_2,1.0
13,018b40a1-c109-459a-9e31-86cbd2cb3918_3,1.0
14,018b40a1-c109-459a-9e31-86cbd2cb3918_4,1.0
15,018b40a1-c109-459a-9e31-86cbd2cb3918_5,1.0
16,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_0,1.0
17,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_1,1.0
18,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_2,1.0
19,01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7_3,1.0
20,01f97898-9ec4-480b-9fcc-a9daa737106d_0,1.0
21,01f97898-9ec4-480b-9fcc-a9daa737106d_1,1.0
22,01f97898-9ec4-480b-9fcc-a9daa737106d_2,1.0
23,01f97898-9ec4-480b-9fcc-a9daa737106d_3,1.0
24,01f97898-9ec4-480b-9fcc-a9daa737106d_4,1.0
25,01f97898-9ec4-480b-9fcc-a9daa737106d_5,1.0
26,01f97898-9ec4-480b-9fcc-a9daa737106d_6,1.0
27,01f97898-9ec4-480b-9fcc-a9daa737106d_7,1.0
28,02df470b-ddcf-403a-b726-76be6af905e1_0,1.0
29,02df470b-ddcf-403a-b726-76be6af905e1_1,1.0
30,031fd54a-87b5-4223-9af6-60985127fb7a_0,1.0
31,031fd54a-87b5-4223-9af6-60985127fb7a_1,1.0
32,031fd54a-87b5-4223-9af6-60985127fb7a_2,1.0
33,031fd54a-87b5-4223-9af6-60985127fb7a_3,1.0
34,031fd54a-87b5-4223-9af6-60985127fb7a_4,1.0
35,031fd54a-87b5-4223-9af6-60985127fb7a_5,1.0
36,0352b80b-3c92-44f2-abbf-d6c056e02ee9_0,1.0
37,0352b80b-3c92-44f2-abbf-d6c056e02ee9_1,1.0
38,03d30b8b-03f8-4089-bda8-0e14deec7d82_0,1.0
39,03d30b8b-03f8-4089-bda8-0e14deec7d82_1,1.0
40,03d30b8b-03f8-4089-bda8-0e14deec7d82_2,1.0
41,03d30b8b-03f8-4089-bda8-0e14deec7d82_3,1.0
42,03d30b8b-03f8-4089-bda8-0e14deec7d82_4,1.0
43,03d30b8b-03f8-4089-bda8-0e14deec7d82_5,1.0
44,0527be95-d7f1-4156-8e37-1587355661ca_0,1.0
45,0527be95-d7f1-4156-8e37-1587355661ca_1,1.0
46,0527be95-d7f1-4156-8e37-1587355661ca_2,1.0
